Geographic Area(s),Year(s),Age Group/Status,Test Type,Blood Lead Reference Value,Number of Children Tested,Number of Children with an EBLL,Percent of Children Tested with an EBLL
48001,2010,All Children <6,All Test Types,3.5,150,15,10
48001,2010,All Children <6,All Test Types,5,150,9,6
48001,2011,All Children <6,All Test Types,3.5,156,7,4.5
48001,2011,All Children <6,All Test Types,5,156,6,3.8
48001,2012,All Children <6,All Test Types,3.5,167,12,7.2
48001,2012,All Children <6,All Test Types,5,167,9,5.4
48001,2013,All Children <6,All Test Types,3.5,168,11,6.5
48001**,2013,All Children <6,All Test Types,5,168,,Suppressed
48001**,2014,All Children <6,All Test Types,3.5,144,,Suppressed
48001**,2014,All Children <6,All Test Types,5,144,,Suppressed
48001,2015,All Children <6,All Test Types,3.5,144,9,6.3
48001**,2015,All Children <6,All Test Types,5,144,,Suppressed
48001,2016,All Children <6,All Test Types,3.5,178,14,7.9
48001**,2016,All Children <6,All Test Types,5,178,,Suppressed
48001**,2017,All Children <6,All Test Types,3.5,176,,Suppressed
48001**,2017,All Children <6,All Test Types,5,176,,Suppressed
48001**,2018,All Children <6,All Test Types,3.5,132,,Suppressed
48001**,2018,All Children <6,All Test Types,5,132,,Suppressed
48001**,2019,All Children <6,All Test Types,3.5,155,,Suppressed
48001,2019,All Children <6,All Test Types,5,155,0,0
48001**,2020,All Children <6,All Test Types,3.5,94,,Suppressed
48001,2020,All Children <6,All Test Types,5,94,0,0
48001,2021,All Children <6,All Test Types,3.5,75,0,0
48001,2021,All Children <6,All Test Types,5,75,0,0
48001**,2022,All Children <6,All Test Types,3.5,101,,Suppressed
48001,2022,All Children <6,All Test Types,5,101,0,0
48001**,2023,All Children <6,All Test Types,3.5,104,,Suppressed
48001**,2023,All Children <6,All Test Types,5,104,,Suppressed
48001**,2024,All Children <6,All Test Types,3.5,93,,Suppressed
48001**,2024,All Children <6,All Test Types,5,93,,Suppressed
48002**,2010,All Children <6,All Test Types,3.5,21,,Suppressed
48002**,2010,All Children <6,All Test Types,5,21,,Suppressed
48002,2011,All Children <6,All Test Types,3.5,23,0,0
48002,2011,All Children <6,All Test Types,5,23,0,0
48002,2012,All Children <6,All Test Types,3.5,18,0,0
48002,2012,All Children <6,All Test Types,5,18,0,0
48002**,2013,All Children <6,All Test Types,3.5,23,,Suppressed
48002**,2013,All Children <6,All Test Types,5,23,,Suppressed
48002**,2014,All Children <6,All Test Types,3.5,19,,Suppressed
48002**,2014,All Children <6,All Test Types,5,19,,Suppressed
48002,2015,All Children <6,All Test Types,3.5,16,0,0
48002,2015,All Children <6,All Test Types,5,16,0,0
48002**,2016,All Children <6,All Test Types,3.5,29,,Suppressed
48002**,2016,All Children <6,All Test Types,5,29,,Suppressed
48002,2017,All Children <6,All Test Types,3.5,25,0,0
48002,2017,All Children <6,All Test Types,5,25,0,0
48002,2018,All Children <6,All Test Types,3.5,27,0,0
48002,2018,All Children <6,All Test Types,5,27,0,0
48002**,2019,All Children <6,All Test Types,3.5,28,,Suppressed
48002,2019,All Children <6,All Test Types,5,28,0,0
48002**,2020,All Children <6,All Test Types,3.5,16,,Suppressed
48002**,2020,All Children <6,All Test Types,5,16,,Suppressed
48002,2021,All Children <6,All Test Types,3.5,20,0,0
48002,2021,All Children <6,All Test Types,5,20,0,0
48002,2022,All Children <6,All Test Types,3.5,20,0,0
48002,2022,All Children <6,All Test Types,5,20,0,0
48002,2023,All Children <6,All Test Types,3.5,23,0,0
48002,2023,All Children <6,All Test Types,5,23,0,0
48002,2024,All Children <6,All Test Types,3.5,28,0,0
48002,2024,All Children <6,All Test Types,5,28,0,0
48003**,2010,All Children <6,All Test Types,3.5,36,,Suppressed
48003**,2010,All Children <6,All Test Types,5,36,,Suppressed
48003**,2011,All Children <6,All Test Types,3.5,46,,Suppressed
48003**,2011,All Children <6,All Test Types,5,46,,Suppressed
48003**,2012,All Children <6,All Test Types,3.5,42,,Suppressed
48003,2012,All Children <6,All Test Types,5,42,0,0
48003**,2013,All Children <6,All Test Types,3.5,41,,Suppressed
48003,2013,All Children <6,All Test Types,5,41,0,0
48003**,2014,All Children <6,All Test Types,3.5,42,,Suppressed
48003,2014,All Children <6,All Test Types,5,42,0,0
48003**,2015,All Children <6,All Test Types,3.5,54,,Suppressed
48003**,2015,All Children <6,All Test Types,5,54,,Suppressed
48003**,2016,All Children <6,All Test Types,3.5,63,,Suppressed
48003,2016,All Children <6,All Test Types,5,63,0,0
48003**,2017,All Children <6,All Test Types,3.5,67,,Suppressed
48003**,2017,All Children <6,All Test Types,5,67,,Suppressed
48003**,2018,All Children <6,All Test Types,3.5,72,,Suppressed
48003**,2018,All Children <6,All Test Types,5,72,,Suppressed
48003**,2019,All Children <6,All Test Types,3.5,54,,Suppressed
48003**,2019,All Children <6,All Test Types,5,54,,Suppressed
48003**,2020,All Children <6,All Test Types,3.5,80,,Suppressed
48003,2020,All Children <6,All Test Types,5,80,0,0
48003**,2021,All Children <6,All Test Types,3.5,64,,Suppressed
48003**,2021,All Children <6,All Test Types,5,64,,Suppressed
48003**,2022,All Children <6,All Test Types,3.5,62,,Suppressed
48003**,2022,All Children <6,All Test Types,5,62,,Suppressed
48003,2023,All Children <6,All Test Types,3.5,80,0,0
48003,2023,All Children <6,All Test Types,5,80,0,0
48003**,2024,All Children <6,All Test Types,3.5,105,,Suppressed
48003,2024,All Children <6,All Test Types,5,105,0,0
48004,2011,All Children <6,All Test Types,3.5,,0,0
48004,2011,All Children <6,All Test Types,5,,0,0
48004,2013,All Children <6,All Test Types,3.5,,0,0
48004,2013,All Children <6,All Test Types,5,,0,0
48004,2016,All Children <6,All Test Types,3.5,,0,0
48004,2016,All Children <6,All Test Types,5,,0,0
48004,2018,All Children <6,All Test Types,3.5,,0,0
48004,2018,All Children <6,All Test Types,5,,0,0
48005**,2010,All Children <6,All Test Types,3.5,28,,Suppressed
48005,2010,All Children <6,All Test Types,5,28,0,0
48005**,2011,All Children <6,All Test Types,3.5,31,,Suppressed
48005,2011,All Children <6,All Test Types,5,31,0,0
48005,2012,All Children <6,All Test Types,3.5,31,0,0
48005,2012,All Children <6,All Test Types,5,31,0,0
48005**,2013,All Children <6,All Test Types,3.5,43,,Suppressed
48005**,2013,All Children <6,All Test Types,5,43,,Suppressed
48005**,2014,All Children <6,All Test Types,3.5,39,,Suppressed
48005**,2014,All Children <6,All Test Types,5,39,,Suppressed
48005,2015,All Children <6,All Test Types,3.5,25,0,0
48005,2015,All Children <6,All Test Types,5,25,0,0
48005**,2016,All Children <6,All Test Types,3.5,42,,Suppressed
48005,2016,All Children <6,All Test Types,5,42,0,0
48005**,2017,All Children <6,All Test Types,3.5,34,,Suppressed
48005**,2017,All Children <6,All Test Types,5,34,,Suppressed
48005,2018,All Children <6,All Test Types,3.5,40,0,0
48005,2018,All Children <6,All Test Types,5,40,0,0
48005**,2019,All Children <6,All Test Types,3.5,41,,Suppressed
48005,2019,All Children <6,All Test Types,5,41,0,0
48005,2020,All Children <6,All Test Types,3.5,36,0,0
48005,2020,All Children <6,All Test Types,5,36,0,0
48005,2021,All Children <6,All Test Types,3.5,34,0,0
48005,2021,All Children <6,All Test Types,5,34,0,0
48005**,2022,All Children <6,All Test Types,3.5,44,,Suppressed
48005,2022,All Children <6,All Test Types,5,44,0,0
48005,2023,All Children <6,All Test Types,3.5,47,0,0
48005,2023,All Children <6,All Test Types,5,47,0,0
48005,2024,All Children <6,All Test Types,3.5,50,0,0
48005,2024,All Children <6,All Test Types,5,50,0,0
48006,2010,All Children <6,All Test Types,3.5,30,0,0
48006,2010,All Children <6,All Test Types,5,30,0,0
48006**,2011,All Children <6,All Test Types,3.5,23,,Suppressed
48006**,2011,All Children <6,All Test Types,5,23,,Suppressed
48006**,2012,All Children <6,All Test Types,3.5,38,,Suppressed
48006**,2012,All Children <6,All Test Types,5,38,,Suppressed
48006**,2013,All Children <6,All Test Types,3.5,32,,Suppressed
48006**,2013,All Children <6,All Test Types,5,32,,Suppressed
48006,2014,All Children <6,All Test Types,3.5,44,0,0
48006,2014,All Children <6,All Test Types,5,44,0,0
48006**,2015,All Children <6,All Test Types,3.5,43,,Suppressed
48006**,2015,All Children <6,All Test Types,5,43,,Suppressed
48006**,2016,All Children <6,All Test Types,3.5,36,,Suppressed
48006**,2016,All Children <6,All Test Types,5,36,,Suppressed
48006**,2017,All Children <6,All Test Types,3.5,41,,Suppressed
48006**,2017,All Children <6,All Test Types,5,41,,Suppressed
48006**,2018,All Children <6,All Test Types,3.5,31,,Suppressed
48006,2018,All Children <6,All Test Types,5,31,0,0
48006,2019,All Children <6,All Test Types,3.5,43,8,18.6
48006**,2019,All Children <6,All Test Types,5,43,,Suppressed
48006**,2020,All Children <6,All Test Types,3.5,26,,Suppressed
48006**,2020,All Children <6,All Test Types,5,26,,Suppressed
48006**,2021,All Children <6,All Test Types,3.5,23,,Suppressed
48006,2021,All Children <6,All Test Types,5,23,0,0
48006,2022,All Children <6,All Test Types,3.5,25,0,0
48006,2022,All Children <6,All Test Types,5,25,0,0
48006,2023,All Children <6,All Test Types,3.5,16,0,0
48006,2023,All Children <6,All Test Types,5,16,0,0
48006,2024,All Children <6,All Test Types,3.5,32,0,0
48006,2024,All Children <6,All Test Types,5,32,0,0
48007**,2010,All Children <6,All Test Types,3.5,,,Suppressed
48007,2010,All Children <6,All Test Types,5,,0,0
48007,2017,All Children <6,All Test Types,3.5,,0,0
48007,2017,All Children <6,All Test Types,5,,0,0
48007,2019,All Children <6,All Test Types,3.5,,0,0
48007,2019,All Children <6,All Test Types,5,,0,0
48007,2020,All Children <6,All Test Types,3.5,,0,0
48007,2020,All Children <6,All Test Types,5,,0,0
48007,2023,All Children <6,All Test Types,3.5,,0,0
48007,2023,All Children <6,All Test Types,5,,0,0
48009**,2010,All Children <6,All Test Types,3.5,237,,Suppressed
48009**,2010,All Children <6,All Test Types,5,237,,Suppressed
48009**,2011,All Children <6,All Test Types,3.5,236,,Suppressed
48009**,2011,All Children <6,All Test Types,5,236,,Suppressed
48009**,2012,All Children <6,All Test Types,3.5,238,,Suppressed
48009**,2012,All Children <6,All Test Types,5,238,,Suppressed
48009**,2013,All Children <6,All Test Types,3.5,218,,Suppressed
48009,2013,All Children <6,All Test Types,5,218,0,0
48009,2014,All Children <6,All Test Types,3.5,251,6,2.4
48009,2014,All Children <6,All Test Types,5,251,0,0
48009**,2015,All Children <6,All Test Types,3.5,310,,Suppressed
48009**,2015,All Children <6,All Test Types,5,310,,Suppressed
48009**,2016,All Children <6,All Test Types,3.5,351,,Suppressed
48009,2016,All Children <6,All Test Types,5,351,0,0
48009,2017,All Children <6,All Test Types,3.5,337,6,1.8
48009**,2017,All Children <6,All Test Types,5,337,,Suppressed
48009**,2018,All Children <6,All Test Types,3.5,371,,Suppressed
48009,2018,All Children <6,All Test Types,5,371,0,0
48009**,2019,All Children <6,All Test Types,3.5,345,,Suppressed
48009**,2019,All Children <6,All Test Types,5,345,,Suppressed
48009**,2020,All Children <6,All Test Types,3.5,320,,Suppressed
48009**,2020,All Children <6,All Test Types,5,320,,Suppressed
48009,2021,All Children <6,All Test Types,3.5,284,0,0
48009,2021,All Children <6,All Test Types,5,284,0,0
48009,2022,All Children <6,All Test Types,3.5,357,0,0
48009,2022,All Children <6,All Test Types,5,357,0,0
48009**,2023,All Children <6,All Test Types,3.5,330,,Suppressed
48009,2023,All Children <6,All Test Types,5,330,0,0
48009**,2024,All Children <6,All Test Types,3.5,347,,Suppressed
48009,2024,All Children <6,All Test Types,5,347,0,0
48011,2011,All Children <6,All Test Types,3.5,,0,0
48011,2011,All Children <6,All Test Types,5,,0,0
48012,2010,All Children <6,All Test Types,3.5,,0,0
48012,2010,All Children <6,All Test Types,5,,0,0
48012,2012,All Children <6,All Test Types,3.5,,0,0
48012,2012,All Children <6,All Test Types,5,,0,0
48012,2017,All Children <6,All Test Types,3.5,,0,0
48012,2017,All Children <6,All Test Types,5,,0,0
48012,2019,All Children <6,All Test Types,3.5,,0,0
48012,2019,All Children <6,All Test Types,5,,0,0
48012,2021,All Children <6,All Test Types,3.5,,0,0
48012,2021,All Children <6,All Test Types,5,,0,0
48012,2022,All Children <6,All Test Types,3.5,,0,0
48012,2022,All Children <6,All Test Types,5,,0,0
48012,2023,All Children <6,All Test Types,3.5,,0,0
48012,2023,All Children <6,All Test Types,5,,0,0
48012**,2024,All Children <6,All Test Types,3.5,,,Suppressed
48012**,2024,All Children <6,All Test Types,5,,,Suppressed
48014**,2010,All Children <6,All Test Types,3.5,34,,Suppressed
48014,2010,All Children <6,All Test Types,5,34,0,0
48014**,2011,All Children <6,All Test Types,3.5,46,,Suppressed
48014**,2011,All Children <6,All Test Types,5,46,,Suppressed
48014**,2012,All Children <6,All Test Types,3.5,85,,Suppressed
48014**,2012,All Children <6,All Test Types,5,85,,Suppressed
48014**,2013,All Children <6,All Test Types,3.5,66,,Suppressed
48014,2013,All Children <6,All Test Types,5,66,0,0
48014**,2014,All Children <6,All Test Types,3.5,67,,Suppressed
48014**,2014,All Children <6,All Test Types,5,67,,Suppressed
48014**,2015,All Children <6,All Test Types,3.5,72,,Suppressed
48014**,2015,All Children <6,All Test Types,5,72,,Suppressed
48014**,2016,All Children <6,All Test Types,3.5,59,,Suppressed
48014**,2016,All Children <6,All Test Types,5,59,,Suppressed
48014**,2017,All Children <6,All Test Types,3.5,57,,Suppressed
48014,2017,All Children <6,All Test Types,5,57,0,0
48014**,2018,All Children <6,All Test Types,3.5,69,,Suppressed
48014**,2018,All Children <6,All Test Types,5,69,,Suppressed
48014**,2019,All Children <6,All Test Types,3.5,69,,Suppressed
48014**,2019,All Children <6,All Test Types,5,69,,Suppressed
48014**,2020,All Children <6,All Test Types,3.5,41,,Suppressed
48014**,2020,All Children <6,All Test Types,5,41,,Suppressed
48014**,2021,All Children <6,All Test Types,3.5,39,,Suppressed
48014**,2021,All Children <6,All Test Types,5,39,,Suppressed
48014**,2022,All Children <6,All Test Types,3.5,36,,Suppressed
48014**,2022,All Children <6,All Test Types,5,36,,Suppressed
48014**,2023,All Children <6,All Test Types,3.5,46,,Suppressed
48014**,2023,All Children <6,All Test Types,5,46,,Suppressed
48014**,2024,All Children <6,All Test Types,3.5,57,,Suppressed
48014,2024,All Children <6,All Test Types,5,57,0,0
48015,2010,All Children <6,All Test Types,3.5,123,8,6.5
48015**,2010,All Children <6,All Test Types,5,123,,Suppressed
48015**,2011,All Children <6,All Test Types,3.5,104,,Suppressed
48015,2011,All Children <6,All Test Types,5,104,0,0
48015,2012,All Children <6,All Test Types,3.5,121,8,6.6
48015**,2012,All Children <6,All Test Types,5,121,,Suppressed
48015,2013,All Children <6,All Test Types,3.5,105,6,5.7
48015**,2013,All Children <6,All Test Types,5,105,,Suppressed
48015**,2014,All Children <6,All Test Types,3.5,112,,Suppressed
48015,2014,All Children <6,All Test Types,5,112,0,0
48015**,2015,All Children <6,All Test Types,3.5,138,,Suppressed
48015**,2015,All Children <6,All Test Types,5,138,,Suppressed
48015**,2016,All Children <6,All Test Types,3.5,127,,Suppressed
48015**,2016,All Children <6,All Test Types,5,127,,Suppressed
48015,2017,All Children <6,All Test Types,3.5,138,7,5.1
48015**,2017,All Children <6,All Test Types,5,138,,Suppressed
48015**,2018,All Children <6,All Test Types,3.5,135,,Suppressed
48015,2018,All Children <6,All Test Types,5,135,0,0
48015**,2019,All Children <6,All Test Types,3.5,159,,Suppressed
48015**,2019,All Children <6,All Test Types,5,159,,Suppressed
48015,2020,All Children <6,All Test Types,3.5,108,8,7.4
48015**,2020,All Children <6,All Test Types,5,108,,Suppressed
48015,2021,All Children <6,All Test Types,3.5,104,0,0
48015,2021,All Children <6,All Test Types,5,104,0,0
48015**,2022,All Children <6,All Test Types,3.5,100,,Suppressed
48015**,2022,All Children <6,All Test Types,5,100,,Suppressed
48015**,2023,All Children <6,All Test Types,3.5,124,,Suppressed
48015**,2023,All Children <6,All Test Types,5,124,,Suppressed
48015**,2024,All Children <6,All Test Types,3.5,119,,Suppressed
48015**,2024,All Children <6,All Test Types,5,119,,Suppressed
48017**,2010,All Children <6,All Test Types,3.5,133,,Suppressed
48017**,2010,All Children <6,All Test Types,5,133,,Suppressed
48017**,2011,All Children <6,All Test Types,3.5,119,,Suppressed
48017**,2011,All Children <6,All Test Types,5,119,,Suppressed
48017**,2012,All Children <6,All Test Types,3.5,123,,Suppressed
48017**,2012,All Children <6,All Test Types,5,123,,Suppressed
48017**,2013,All Children <6,All Test Types,3.5,140,,Suppressed
48017,2013,All Children <6,All Test Types,5,140,0,0
48017,2014,All Children <6,All Test Types,3.5,124,0,0
48017,2014,All Children <6,All Test Types,5,124,0,0
48017**,2015,All Children <6,All Test Types,3.5,149,,Suppressed
48017,2015,All Children <6,All Test Types,5,149,0,0
48017**,2016,All Children <6,All Test Types,3.5,143,,Suppressed
48017**,2016,All Children <6,All Test Types,5,143,,Suppressed
48017**,2017,All Children <6,All Test Types,3.5,170,,Suppressed
48017**,2017,All Children <6,All Test Types,5,170,,Suppressed
48017**,2018,All Children <6,All Test Types,3.5,111,,Suppressed
48017,2018,All Children <6,All Test Types,5,111,0,0
48017,2019,All Children <6,All Test Types,3.5,143,0,0
48017,2019,All Children <6,All Test Types,5,143,0,0
48017,2020,All Children <6,All Test Types,3.5,115,0,0
48017,2020,All Children <6,All Test Types,5,115,0,0
48017**,2021,All Children <6,All Test Types,3.5,134,,Suppressed
48017,2021,All Children <6,All Test Types,5,134,0,0
48017**,2022,All Children <6,All Test Types,3.5,163,,Suppressed
48017**,2022,All Children <6,All Test Types,5,163,,Suppressed
48017**,2023,All Children <6,All Test Types,3.5,138,,Suppressed
48017**,2023,All Children <6,All Test Types,5,138,,Suppressed
48017**,2024,All Children <6,All Test Types,3.5,148,,Suppressed
48017**,2024,All Children <6,All Test Types,5,148,,Suppressed
48020,2011,All Children <6,All Test Types,3.5,,0,0
48020,2011,All Children <6,All Test Types,5,,0,0
48021,2010,All Children <6,All Test Types,3.5,555,29,5.2
48021,2010,All Children <6,All Test Types,5,555,17,3.1
48021,2011,All Children <6,All Test Types,3.5,579,27,4.7
48021,2011,All Children <6,All Test Types,5,579,20,3.5
48021,2012,All Children <6,All Test Types,3.5,604,21,3.5
48021,2012,All Children <6,All Test Types,5,604,15,2.5
48021,2013,All Children <6,All Test Types,3.5,593,26,4.4
48021,2013,All Children <6,All Test Types,5,593,12,2
48021,2014,All Children <6,All Test Types,3.5,541,24,4.4
48021,2014,All Children <6,All Test Types,5,541,14,2.6
48021,2015,All Children <6,All Test Types,3.5,547,22,4
48021,2015,All Children <6,All Test Types,5,547,12,2.2
48021,2016,All Children <6,All Test Types,3.5,675,25,3.7
48021,2016,All Children <6,All Test Types,5,675,12,1.8
48021,2017,All Children <6,All Test Types,3.5,688,38,5.5
48021,2017,All Children <6,All Test Types,5,688,21,3.1
48021,2018,All Children <6,All Test Types,3.5,635,27,4.3
48021,2018,All Children <6,All Test Types,5,635,13,2
48021,2019,All Children <6,All Test Types,3.5,726,38,5.2
48021,2019,All Children <6,All Test Types,5,726,12,1.7
48021,2020,All Children <6,All Test Types,3.5,451,22,4.9
48021,2020,All Children <6,All Test Types,5,451,10,2.2
48021,2021,All Children <6,All Test Types,3.5,430,12,2.8
48021,2021,All Children <6,All Test Types,5,430,9,2.1
48021,2022,All Children <6,All Test Types,3.5,442,10,2.3
48021,2022,All Children <6,All Test Types,5,442,7,1.6
48021,2023,All Children <6,All Test Types,3.5,473,13,2.7
48021,2023,All Children <6,All Test Types,5,473,6,1.3
48021,2024,All Children <6,All Test Types,3.5,471,13,2.8
48021,2024,All Children <6,All Test Types,5,471,6,1.3
48022**,2010,All Children <6,All Test Types,3.5,21,,Suppressed
48022,2010,All Children <6,All Test Types,5,21,0,0
48022**,2011,All Children <6,All Test Types,3.5,26,,Suppressed
48022**,2011,All Children <6,All Test Types,5,26,,Suppressed
48022,2012,All Children <6,All Test Types,3.5,27,0,0
48022,2012,All Children <6,All Test Types,5,27,0,0
48022**,2013,All Children <6,All Test Types,3.5,31,,Suppressed
48022,2013,All Children <6,All Test Types,5,31,0,0
48022,2014,All Children <6,All Test Types,3.5,23,0,0
48022,2014,All Children <6,All Test Types,5,23,0,0
48022,2015,All Children <6,All Test Types,3.5,31,0,0
48022,2015,All Children <6,All Test Types,5,31,0,0
48022**,2016,All Children <6,All Test Types,3.5,24,,Suppressed
48022**,2016,All Children <6,All Test Types,5,24,,Suppressed
48022,2017,All Children <6,All Test Types,3.5,24,0,0
48022,2017,All Children <6,All Test Types,5,24,0,0
48022**,2018,All Children <6,All Test Types,3.5,27,,Suppressed
48022,2018,All Children <6,All Test Types,5,27,0,0
48022**,2019,All Children <6,All Test Types,3.5,20,,Suppressed
48022**,2019,All Children <6,All Test Types,5,20,,Suppressed
48022**,2020,All Children <6,All Test Types,3.5,8,,Suppressed
48022,2020,All Children <6,All Test Types,5,8,0,0
48022,2021,All Children <6,All Test Types,3.5,16,0,0
48022,2021,All Children <6,All Test Types,5,16,0,0
48022,2022,All Children <6,All Test Types,3.5,11,0,0
48022,2022,All Children <6,All Test Types,5,11,0,0
48022**,2023,All Children <6,All Test Types,3.5,14,,Suppressed
48022**,2023,All Children <6,All Test Types,5,14,,Suppressed
48022**,2024,All Children <6,All Test Types,3.5,16,,Suppressed
48022**,2024,All Children <6,All Test Types,5,16,,Suppressed
48023**,2010,All Children <6,All Test Types,3.5,45,,Suppressed
48023**,2010,All Children <6,All Test Types,5,45,,Suppressed
48023**,2011,All Children <6,All Test Types,3.5,48,,Suppressed
48023,2011,All Children <6,All Test Types,5,48,0,0
48023**,2012,All Children <6,All Test Types,3.5,42,,Suppressed
48023**,2012,All Children <6,All Test Types,5,42,,Suppressed
48023**,2013,All Children <6,All Test Types,3.5,41,,Suppressed
48023,2013,All Children <6,All Test Types,5,41,0,0
48023**,2014,All Children <6,All Test Types,3.5,53,,Suppressed
48023,2014,All Children <6,All Test Types,5,53,0,0
48023**,2015,All Children <6,All Test Types,3.5,50,,Suppressed
48023**,2015,All Children <6,All Test Types,5,50,,Suppressed
48023**,2016,All Children <6,All Test Types,3.5,63,,Suppressed
48023**,2016,All Children <6,All Test Types,5,63,,Suppressed
48023**,2017,All Children <6,All Test Types,3.5,65,,Suppressed
48023,2017,All Children <6,All Test Types,5,65,0,0
48023,2018,All Children <6,All Test Types,3.5,52,0,0
48023,2018,All Children <6,All Test Types,5,52,0,0
48023,2019,All Children <6,All Test Types,3.5,56,0,0
48023,2019,All Children <6,All Test Types,5,56,0,0
48023,2020,All Children <6,All Test Types,3.5,49,0,0
48023,2020,All Children <6,All Test Types,5,49,0,0
48023**,2021,All Children <6,All Test Types,3.5,45,,Suppressed
48023,2021,All Children <6,All Test Types,5,45,0,0
48023,2022,All Children <6,All Test Types,3.5,58,0,0
48023,2022,All Children <6,All Test Types,5,58,0,0
48023,2023,All Children <6,All Test Types,3.5,55,0,0
48023,2023,All Children <6,All Test Types,5,55,0,0
48023**,2024,All Children <6,All Test Types,3.5,57,,Suppressed
48023,2024,All Children <6,All Test Types,5,57,0,0
48024,2010,All Children <6,All Test Types,3.5,22,0,0
48024,2010,All Children <6,All Test Types,5,22,0,0
48024**,2011,All Children <6,All Test Types,3.5,32,,Suppressed
48024**,2011,All Children <6,All Test Types,5,32,,Suppressed
48024**,2012,All Children <6,All Test Types,3.5,38,,Suppressed
48024**,2012,All Children <6,All Test Types,5,38,,Suppressed
48024,2015,All Children <6,All Test Types,3.5,,0,0
48024,2015,All Children <6,All Test Types,5,,0,0
48024,2016,All Children <6,All Test Types,3.5,,0,0
48024,2016,All Children <6,All Test Types,5,,0,0
48025**,2010,All Children <6,All Test Types,3.5,92,,Suppressed
48025,2010,All Children <6,All Test Types,5,92,0,0
48025**,2011,All Children <6,All Test Types,3.5,100,,Suppressed
48025,2011,All Children <6,All Test Types,5,100,0,0
48025**,2012,All Children <6,All Test Types,3.5,98,,Suppressed
48025**,2012,All Children <6,All Test Types,5,98,,Suppressed
48025**,2013,All Children <6,All Test Types,3.5,120,,Suppressed
48025,2013,All Children <6,All Test Types,5,120,0,0
48025,2014,All Children <6,All Test Types,3.5,124,8,6.5
48025**,2014,All Children <6,All Test Types,5,124,,Suppressed
48025**,2015,All Children <6,All Test Types,3.5,143,,Suppressed
48025**,2015,All Children <6,All Test Types,5,143,,Suppressed
48025**,2016,All Children <6,All Test Types,3.5,148,,Suppressed
48025,2016,All Children <6,All Test Types,5,148,0,0
48025,2017,All Children <6,All Test Types,3.5,145,0,0
48025,2017,All Children <6,All Test Types,5,145,0,0
48025**,2018,All Children <6,All Test Types,3.5,145,,Suppressed
48025,2018,All Children <6,All Test Types,5,145,0,0
48025,2019,All Children <6,All Test Types,3.5,178,0,0
48025,2019,All Children <6,All Test Types,5,178,0,0
48025**,2020,All Children <6,All Test Types,3.5,147,,Suppressed
48025**,2020,All Children <6,All Test Types,5,147,,Suppressed
48025**,2021,All Children <6,All Test Types,3.5,126,,Suppressed
48025**,2021,All Children <6,All Test Types,5,126,,Suppressed
48025**,2022,All Children <6,All Test Types,3.5,183,,Suppressed
48025,2022,All Children <6,All Test Types,5,183,0,0
48025,2023,All Children <6,All Test Types,3.5,178,0,0
48025,2023,All Children <6,All Test Types,5,178,0,0
48025**,2024,All Children <6,All Test Types,3.5,170,,Suppressed
48025,2024,All Children <6,All Test Types,5,170,0,0
48026**,2010,All Children <6,All Test Types,3.5,135,,Suppressed
48026**,2010,All Children <6,All Test Types,5,135,,Suppressed
48026,2011,All Children <6,All Test Types,3.5,147,6,4.1
48026**,2011,All Children <6,All Test Types,5,147,,Suppressed
48026**,2012,All Children <6,All Test Types,3.5,168,,Suppressed
48026**,2012,All Children <6,All Test Types,5,168,,Suppressed
48026**,2013,All Children <6,All Test Types,3.5,137,,Suppressed
48026**,2013,All Children <6,All Test Types,5,137,,Suppressed
48026**,2014,All Children <6,All Test Types,3.5,173,,Suppressed
48026**,2014,All Children <6,All Test Types,5,173,,Suppressed
48026**,2015,All Children <6,All Test Types,3.5,167,,Suppressed
48026**,2015,All Children <6,All Test Types,5,167,,Suppressed
48026**,2016,All Children <6,All Test Types,3.5,185,,Suppressed
48026**,2016,All Children <6,All Test Types,5,185,,Suppressed
48026,2017,All Children <6,All Test Types,3.5,181,6,3.3
48026**,2017,All Children <6,All Test Types,5,181,,Suppressed
48026**,2018,All Children <6,All Test Types,3.5,190,,Suppressed
48026**,2018,All Children <6,All Test Types,5,190,,Suppressed
48026**,2019,All Children <6,All Test Types,3.5,195,,Suppressed
48026,2019,All Children <6,All Test Types,5,195,0,0
48026**,2020,All Children <6,All Test Types,3.5,125,,Suppressed
48026**,2020,All Children <6,All Test Types,5,125,,Suppressed
48026,2021,All Children <6,All Test Types,3.5,105,0,0
48026,2021,All Children <6,All Test Types,5,105,0,0
48026**,2022,All Children <6,All Test Types,3.5,114,,Suppressed
48026**,2022,All Children <6,All Test Types,5,114,,Suppressed
48026**,2023,All Children <6,All Test Types,3.5,141,,Suppressed
48026,2023,All Children <6,All Test Types,5,141,0,0
48026**,2024,All Children <6,All Test Types,3.5,157,,Suppressed
48026**,2024,All Children <6,All Test Types,5,157,,Suppressed
48027**,2010,All Children <6,All Test Types,3.5,16,,Suppressed
48027,2010,All Children <6,All Test Types,5,16,0,0
48027,2011,All Children <6,All Test Types,3.5,26,0,0
48027,2011,All Children <6,All Test Types,5,26,0,0
48027,2012,All Children <6,All Test Types,3.5,34,0,0
48027,2012,All Children <6,All Test Types,5,34,0,0
48027,2013,All Children <6,All Test Types,3.5,40,0,0
48027,2013,All Children <6,All Test Types,5,40,0,0
48027**,2014,All Children <6,All Test Types,3.5,50,,Suppressed
48027**,2014,All Children <6,All Test Types,5,50,,Suppressed
